,latitude,longitude,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds_x,funding_total_usd_x,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status_4,acq_amount,rela_sequence
0,42.35888,71.05682,2.2493,3.0027,4.6685,6.7041,3,3,375000.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,2,0.0,2
1,42.35888,71.05682,2.2493,3.0027,4.6685,6.7041,3,3,375000.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,2,0.0,1
2,42.35888,71.05682,2.2493,3.0027,4.6685,6.7041,3,3,375000.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,2,0.0,2
3,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,1
4,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,1
5,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,4
6,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,3
7,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,4
8,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,6
9,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,5
10,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,6
11,37.238916,121.973718,5.126,9.9973,7.0055,7.0055,9,4,40100000.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,2,0.0,4
